Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
day0_73d67984	"Driver"	So, m'lord, you're a new student at the institute, huh?	game/events/plot/prologue/day0.rpy	7	"Driver" "[what]"
day0_0faae1ee		M'lord?	game/events/plot/prologue/day0.rpy	9	"[what]"
day0_a6134ffa	mc.says	Hmm? Oh, yeah I suppose I will be.	game/events/plot/prologue/day0.rpy	13	mc.says "[what]"
day0_b6cdae74	"Driver"	Pretty unusual, having a pick-up like this. Not that it's my first time carrying a student up there or anything.	game/events/plot/prologue/day0.rpy	15	"Driver" "[what]"
day0_19664384	mc.says	Really?	game/events/plot/prologue/day0.rpy	18	mc.says "[what]"
day0_c3a6d078		It was hard focusing on what the driver was saying when so much is happening all around the carriage.	game/events/plot/prologue/day0.rpy	20	"[what]"
day0_f29e66f3		There was so much life, so much motion. It was like... well, magic.	game/events/plot/prologue/day0.rpy	22	"[what]"
day0_5e6cd78e	"Driver"	It's just, you know, odd for one of you to be arriving on your own like this. Usually students will have their own retinue. And... more bags, you know?	game/events/plot/prologue/day0.rpy	24	"Driver" "[what]"
day0_9f99baa7	mc.says	Mmhmm, yeah.	game/events/plot/prologue/day0.rpy	27	mc.says "[what]"
day0_206635d3		A child running right by us is carrying a stick rapidly changing in color with a stream of sparks flying off the end.	game/events/plot/prologue/day0.rpy	29	"[what]"
day0_b45f718c	"Driver"	So... you must be one them uh, 'special cases', huh?	game/events/plot/prologue/day0.rpy	31	"Driver" "[what]"
day0_b952ec8e	mc.says	Might be.	game/events/plot/prologue/day0.rpy	33	mc.says "[what]"
day0_e2e2713b		Special what?	game/events/plot/prologue/day0.rpy	35	"[what]"
day0_e47f291d	"Driver"	Too right, well, none of my business, that.	game/events/plot/prologue/day0.rpy	37	"Driver" "[what]"
day0_65d2fffd		Whatever the driver was thinking, they got quiet after that, which let me focus on everything around us.	game/events/plot/prologue/day0.rpy	39	"[what]"
day0_90874669		There were so many wonders on the street. A shop has a sign that spins on its own and reads a different slogan with each revolution.	game/events/plot/prologue/day0.rpy	41	"[what]"
day0_85bfad09		And there! A woman has her baby in a carriage that seems to be pushing itself.	game/events/plot/prologue/day0.rpy	44	"[what]"
day0_ff1a01d4	"Driver"	It always gets lively right before the start of a new term. Plenty to see in town.	game/events/plot/prologue/day0.rpy	46	"Driver" "[what]"
day0_cd4532c0		The driver seemed to notice me gaping out the windows with a grin.	game/events/plot/prologue/day0.rpy	48	"[what]"
day0_ba6112cd		I continue staring, nearly hanging out the window at one point to watch a fountain erupting with what appear to be flower petals that went off jus as we rode past.	game/events/plot/prologue/day0.rpy	50	"[what]"
day0_e545267a	"Driver"	Well, I'm sure you'll be learning a lot up there. And we're not too far now.	game/events/plot/prologue/day0.rpy	53	"Driver" "[what]"
